,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2020-05-25 11:29:59,1.13222776395e-06,9.14322042545e-09,2.73682419685e-09,2.89256289694e-09
2020-05-25 11:44:59,1.09816002857e-06,8.92308148653e-09,2.67028643278e-09,2.8234035842e-09
2020-05-25 11:59:59,1.10920204493e-06,8.7608157288e-09,2.65546242901e-09,2.82503191318e-09
2020-05-25 12:14:59,1.13887088327e-06,8.6047087858e-09,2.48759756426e-09,2.64108439176e-09
2020-05-25 12:29:59,1.10406702493e-06,8.49495868157e-09,2.53939171769e-09,2.74011184051e-09
2020-05-25 12:44:59,1.12251172074e-06,8.5155068571e-09,2.50668331859e-09,2.63955307331e-09
2020-05-25 12:59:59,1.14801822772e-06,8.4752691701e-09,2.27038564623e-09,2.39115244067e-09
2020-05-25 13:14:59,1.11829636358e-06,8.4358654863e-09,2.32042927818e-09,2.43648937381e-09
2020-05-25 13:29:59,1.08698268561e-06,8.25036473888e-09,2.30468577813e-09,2.40764193481e-09
2020-05-25 13:44:59,1.07015365861e-06,8.11606381818e-09,2.19866049141e-09,2.28996228104e-09
2020-05-25 13:59:59,1.07778223926e-06,8.07626122388e-09,2.20624477095e-09,2.29034111994e-09
2020-05-25 14:14:59,9.82088375103e-07,8.0872672306e-09,2.24325440783e-09,2.35324006282e-09
2020-05-25 14:29:59,1.00611676416e-06,7.99366496581e-09,2.28643937497e-09,2.40991170424e-09
2020-05-25 14:44:59,1.11090800528e-06,7.8259621478e-09,2.15393498486e-09,2.25101344088e-09
2020-05-25 14:59:59,1.10588227054e-06,7.84741164907e-09,2.18898933951e-09,2.30377749947e-09
2020-05-25 15:14:59,1.00245019308e-06,7.9156277977e-09,2.27365672492e-09,2.39480825376e-09
2020-05-25 15:29:59,9.63877549769e-07,7.96893395727e-09,2.18894765006e-09,2.30686975609e-09
2020-05-25 15:44:59,1.03866969307e-06,7.97709209058e-09,2.12111392737e-09,2.23330637648e-09
2020-05-25 15:59:59,1.0924231588e-06,7.85874475075e-09,2.06640014646e-09,2.18549254739e-09
2020-05-25 16:14:59,1.10787156449e-06,7.812605759e-09,1.99349134904e-09,2.12378399747e-09
2020-05-25 16:29:59,1.04490812097e-06,7.76788147349e-09,2.0612605991e-09,2.19533831181e-09
2020-05-25 16:44:59,9.52187337383e-07,7.77709960644e-09,2.26364411282e-09,2.44565735734e-09
2020-05-25 16:59:59,9.40352882624e-07,7.86859708923e-09,2.36345741606e-09,2.55962063806e-09
2020-05-25 17:14:59,1.01045100273e-06,7.94314703111e-09,2.15141060783e-09,2.30071697052e-09
2020-05-25 17:29:59,9.82224529063e-07,7.84931362359e-09,2.01856008211e-09,2.15153423354e-09
2020-05-25 17:44:59,1.0337713214e-06,1.30794809491e-08,4.84233896864e-09,4.97132507238e-09
2020-05-25 17:59:59,1.03556261432e-06,1.32741534992e-08,5.49948293431e-09,5.70130257186e-09
2020-05-25 18:14:59,9.48209228985e-07,9.10722772563e-09,3.94302084015e-09,4.20136883173e-09
2020-05-25 18:29:59,9.67602299812e-07,7.40897665083e-09,2.34762800771e-09,2.56063336096e-09
2020-05-25 18:44:59,9.47177207215e-07,7.63072635512e-09,2.46201877325e-09,2.71363711515e-09
2020-05-25 18:59:59,9.48554474436e-07,7.83931539263e-09,2.48281998012e-09,2.82069383615e-09
2020-05-25 19:14:59,9.5160331258e-07,8.08074402209e-09,2.4861689487e-09,2.85525309506e-09
2020-05-25 19:29:59,9.1589563761e-07,9.06982956404e-09,3.22665369907e-09,3.56965989253e-09
2020-05-25 19:44:59,9.69481199224e-07,1.3637447711e-08,5.7270265716e-09,5.9559070745e-09
2020-05-25 19:59:59,9.64160695436e-07,9.988199379e-09,3.60424893745e-09,3.860403086e-09
2020-05-25 20:14:59,1.00769389745e-06,8.28489931772e-09,2.68741323472e-09,3.0822392908e-09
2020-05-25 20:29:59,9.64288483803e-07,8.40529011428e-09,3.11831302675e-09,3.56076240657e-09
2020-05-25 20:44:59,9.37032177003e-07,8.83139254996e-09,3.40853916569e-09,3.81343915139e-09
2020-05-25 20:59:59,9.18685689746e-07,9.17475935671e-09,3.59106200889e-09,4.06130246552e-09
2020-05-25 21:14:59,9.20704825257e-07,9.25086458366e-09,3.67413143561e-09,4.15718810816e-09
2020-05-25 21:29:59,9.57409950981e-07,9.48107348421e-09,3.86908957241e-09,4.43371712627e-09
2020-05-25 21:44:59,9.11591462814e-07,1.58043485241e-08,6.02031339025e-09,6.66299097079e-09
2020-05-25 21:59:59,8.85240511356e-07,1.81605784066e-08,7.68398314511e-09,8.50519194443e-09
2020-05-25 22:14:59,9.17181315789e-07,1.18652310653e-08,7.30106884751e-09,8.86831543546e-09
2020-05-25 22:29:59,9.14943115185e-07,1.4807472779e-08,9.90842276781e-09,1.21946143178e-08
2020-05-25 22:44:59,8.8012400588e-07,1.52837143336e-08,1.01298722739e-08,1.27036553188e-08
2020-05-25 22:59:59,8.89383202704e-07,3.07484130813e-08,1.93314403224e-08,2.28586435244e-08
2020-05-25 23:14:59,8.77018683871e-07,3.87578108238e-08,2.26108872854e-08,2.51321948209e-08
2020-05-25 23:29:59,8.63866272193e-07,3.567494402e-08,1.91591722821e-08,2.07566782626e-08
2020-05-25 23:44:59,8.35823758096e-07,3.27228288834e-08,2.06914529213e-08,2.27290949165e-08
2020-05-25 23:59:59,8.35184833486e-07,3.55849322173e-08,2.28072799697e-08,2.47032089315e-08
2020-05-26 00:14:59,8.76954606787e-07,3.5251268684e-08,2.16295786139e-08,2.47742651283e-08
2020-05-26 00:29:59,8.98111012158e-07,2.24561139044e-08,1.51426361065e-08,1.84379922391e-08
2020-05-26 00:44:59,8.54176760213e-07,3.71700517707e-08,2.45263603766e-08,2.81620725515e-08
2020-05-26 00:59:59,8.43260477514e-07,3.99355385254e-08,2.5158597253e-08,2.77519288145e-08
2020-05-26 01:14:59,8.37859411123e-07,3.34289291636e-08,2.17180960322e-08,2.3463103723e-08
2020-05-26 01:29:59,8.02346886894e-07,3.35374572934e-08,2.14574602032e-08,2.30237918713e-08
2020-05-26 01:44:59,8.90047738054e-07,3.23876314225e-08,2.13185298476e-08,2.46849483088e-08
2020-05-26 01:59:59,8.7648695527e-07,2.96617160857e-08,1.53000312935e-08,1.85415188197e-08
2020-05-26 02:14:59,8.55183371977e-07,4.72529283197e-08,2.62104652053e-08,3.0622980635e-08
2020-05-26 02:29:59,8.50827010218e-07,4.36776523277e-08,2.74819863863e-08,3.1011508005e-08
2020-05-26 02:44:59,8.07393364541e-07,2.75246139045e-08,1.97773486026e-08,2.18403723567e-08
2020-05-26 02:59:59,8.03010003118e-07,3.08569646548e-08,2.09760354821e-08,2.31749028627e-08
2020-05-26 03:14:59,7.89906215064e-07,3.94731042376e-08,2.45244125548e-08,2.83328620591e-08
2020-05-26 03:29:59,8.50272407534e-07,2.59550929533e-08,1.54786142637e-08,1.95822943622e-08
2020-05-26 03:44:59,8.53881367088e-07,4.6255035462e-08,2.31504162855e-08,2.70558995369e-08
2020-05-26 03:59:59,8.31641618228e-07,5.39447768307e-08,2.54854570254e-08,2.83599295147e-08
2020-05-26 04:14:59,8.00409197771e-07,5.23786390832e-08,2.479739653e-08,2.68949270242e-08
2020-05-26 04:29:59,7.98666298715e-07,5.33571465007e-08,2.71146529369e-08,2.95720942432e-08
2020-05-26 04:44:59,8.24627967485e-07,3.37295732257e-08,2.01770536558e-08,2.37658854497e-08
2020-05-26 04:59:59,8.22513408877e-07,1.83942105339e-08,1.15663177553e-08,1.36022788864e-08
2020-05-26 05:14:59,8.25592717404e-07,1.36484968663e-08,8.15375382637e-09,9.22468099235e-09
2020-05-26 05:29:59,7.67636533099e-07,9.35083647945e-09,5.50869569294e-09,6.22705856891e-09
2020-05-26 05:44:59,7.58781123774e-07,9.90259542876e-09,5.58233134567e-09,6.47328850102e-09
2020-05-26 05:59:59,7.7377993899e-07,9.71056912555e-09,5.2018150962e-09,6.09175388443e-09
2020-05-26 06:14:59,7.4395054996e-07,8.4912239403e-09,4.236142383e-09,4.99330006052e-09
2020-05-26 06:29:59,7.68843793487e-07,1.03674351292e-08,5.13861195792e-09,5.72564793787e-09
2020-05-26 06:44:59,8.01754196444e-07,1.53301093469e-08,8.04198750725e-09,8.5710451892e-09
2020-05-26 06:59:59,7.61368871537e-07,1.39147578577e-08,7.22679362215e-09,7.72522456739e-09
2020-05-26 07:14:59,6.95485529142e-07,8.53625625781e-09,4.35949772295e-09,4.78979099606e-09
